Date,Open,High,Low,Close,Adj Close,Volume
May 1 2025,209.08,214.56,208.9,213.32,212.59,57365700
Apr 30 2025,209.3,213.58,206.67,212.5,211.78,52286500
Apr 29 2025,208.69,212.24,208.37,211.21,210.49,36827600
Apr 28 2025,210,211.5,207.46,210.14,209.42,38743900
Apr 25 2025,206.37,209.75,206.2,209.28,208.57,38222300
Apr 24 2025,204.89,208.83,202.94,208.37,207.66,47311000
Apr 23 2025,206,208,202.8,204.6,203.9,52929200
Apr 22 2025,196.12,201.59,195.97,199.74,199.06,52976400
Apr 21 2025,193.27,193.8,189.81,193.16,192.5,46742500
Apr 17 2025,197.2,198.83,194.42,196.98,196.31,52164700
Apr 16 2025,198.36,200.7,192.37,194.27,193.61,59732400
Apr 15 2025,201.86,203.51,199.8,202.14,201.45,51343900
Apr 14 2025,211.44,212.94,201.16,202.52,201.83,101352900
Apr 11 2025,186.1,199.54,186.06,198.15,197.47,87435900
Apr 10 2025,189.07,194.78,183,190.42,189.77,121880000
Apr 9 2025,171.95,200.61,171.89,198.85,198.17,184395900
Apr 8 2025,186.7,190.34,169.21,172.42,171.83,120859500
Apr 7 2025,177.2,194.15,174.62,181.46,180.84,160466300
Apr 4 2025,193.89,199.88,187.34,188.38,187.74,125910900
Apr 3 2025,205.54,207.49,201.25,203.19,202.5,103419000
Apr 2 2025,221.32,225.19,221.02,223.89,223.13,35905900
Apr 1 2025,219.81,223.68,218.9,223.19,222.43,36412700
Mar 31 2025,217.01,225.62,216.23,222.13,221.37,65299300
Mar 28 2025,221.67,223.81,217.68,217.9,217.16,39818600
Mar 27 2025,221.39,224.99,220.56,223.85,223.09,37094800
Mar 26 2025,223.51,225.02,220.47,221.53,220.78,34466100
Mar 25 2025,220.77,224.1,220.08,223.75,222.99,34493600
Mar 24 2025,221,221.48,218.58,220.73,219.98,44299500
Mar 21 2025,211.56,218.84,211.28,218.27,217.53,94127800
Mar 20 2025,213.99,217.49,212.22,214.1,213.37,48862900
Mar 19 2025,214.22,218.76,213.75,215.24,214.51,54385400
Mar 18 2025,214.16,215.15,211.49,212.69,211.97,42432400
Mar 17 2025,213.31,215.22,209.97,214,213.27,48073400
Mar 14 2025,211.25,213.95,209.58,213.49,212.76,60107600
Mar 13 2025,215.95,216.84,208.42,209.68,208.97,61368300
Mar 12 2025,220.14,221.75,214.91,216.98,216.24,62547500
Mar 11 2025,223.81,225.84,217.45,220.84,220.09,76137400
Mar 10 2025,235.54,236.16,224.22,227.48,226.7,72071200
Mar 7 2025,235.11,241.37,234.76,239.07,238.26,46273600
Mar 6 2025,234.44,237.86,233.16,235.33,234.53,45170400
Mar 5 2025,235.42,236.55,229.23,235.74,234.94,47227600
Mar 4 2025,237.71,240.07,234.68,235.93,235.13,53798100
Mar 3 2025,241.79,244.03,236.11,238.03,237.22,47184000
Feb 28 2025,236.95,242.09,230.2,241.84,241.02,56833400
Feb 27 2025,239.41,242.46,237.06,237.3,236.49,41153600
Feb 26 2025,244.33,244.98,239.13,240.36,239.54,44433600
Feb 25 2025,248,250,244.91,247.04,246.2,48013300
Feb 24 2025,244.93,248.86,244.42,247.1,246.26,51326400
Feb 21 2025,245.95,248.69,245.22,245.55,244.71,53197400
Feb 20 2025,244.94,246.78,244.29,245.83,244.99,32316900
Feb 19 2025,244.66,246.01,243.16,244.87,244.04,32204200
Feb 18 2025,244.15,245.18,241.84,244.47,243.64,48822500
Feb 14 2025,241.25,245.55,240.99,244.6,243.77,40896200
Feb 13 2025,236.91,242.34,235.57,241.53,240.71,53614100
Feb 12 2025,231.2,236.96,230.68,236.87,236.06,45243300
Feb 11 2025,228.2,235.23,228.13,232.62,231.83,53718400
Feb 10 2025,229.57,230.59,227.2,227.65,226.87,33115600
Feb 7 2025,232.6,234,227.26,227.63,226.61,39707200
Feb 6 2025,231.29,233.8,230.43,233.22,232.17,29925300
Feb 5 2025,228.53,232.67,228.27,232.47,231.42,39620300
Feb 4 2025,227.25,233.13,226.65,232.8,231.75,45067300
Feb 3 2025,229.99,231.83,225.7,228.01,226.98,73063300
Jan 31 2025,247.19,247.19,233.44,236,234.94,100959800
Jan 30 2025,238.67,240.79,237.21,237.59,236.52,55658300
Jan 29 2025,234.12,239.86,234.01,239.36,238.28,45486100
Jan 28 2025,230.85,240.19,230.81,238.26,237.19,75707600
Jan 27 2025,224.02,232.15,223.98,229.86,228.83,94863400
Jan 24 2025,224.78,225.63,221.41,222.78,221.78,54697900
Jan 23 2025,224.74,227.03,222.3,223.66,222.65,60234800
Jan 22 2025,219.79,224.12,219.79,223.83,222.82,64126500
Jan 21 2025,224,224.42,219.38,222.64,221.64,98070400
Jan 17 2025,232.12,232.29,228.48,229.98,228.94,68488300
Jan 16 2025,237.35,238.01,228.03,228.26,227.23,71759000
Jan 15 2025,234.64,238.96,234.43,237.87,236.8,39832000
Jan 14 2025,234.75,236.12,232.47,233.28,232.23,39435300
Jan 13 2025,233.53,234.67,229.72,234.4,233.34,49630700
Jan 10 2025,240.01,240.16,233,236.85,235.78,61710900
Jan 8 2025,241.92,243.71,240.05,242.7,241.61,37628900
Jan 7 2025,242.98,245.55,241.35,242.21,241.12,40856000
Jan 6 2025,244.31,247.33,243.2,245,243.9,45045600
Jan 3 2025,243.36,244.18,241.89,243.36,242.26,40244100
Jan 2 2025,248.93,249.1,241.82,243.85,242.75,55740700
Dec 31 2024,252.44,253.28,249.43,250.42,249.29,39480700
Dec 30 2024,252.23,253.5,250.75,252.2,251.06,35557500
Dec 27 2024,257.83,258.7,253.06,255.59,254.44,42355300
Dec 26 2024,258.19,260.1,257.63,259.02,257.85,27237100
Dec 24 2024,255.49,258.21,255.29,258.2,257.04,23234700
Dec 23 2024,254.77,255.65,253.45,255.27,254.12,40858800
Dec 20 2024,248.04,255,245.69,254.49,253.34,147495300
Dec 19 2024,247.5,252,247.09,249.79,248.67,60882300
Dec 18 2024,252.16,254.28,247.74,248.05,246.93,56774100
Dec 17 2024,250.08,253.83,249.78,253.48,252.34,51356400
Dec 16 2024,247.99,251.38,247.65,251.04,249.91,51694800
Dec 13 2024,247.82,249.29,246.24,248.13,247.01,33155300
Dec 12 2024,246.89,248.74,245.68,247.96,246.84,32777500
Dec 11 2024,247.96,250.8,246.26,246.49,245.38,45205800
Dec 10 2024,246.89,248.21,245.34,247.77,246.65,36914800
Dec 9 2024,241.83,247.24,241.75,246.75,245.64,44649200
Dec 6 2024,242.91,244.63,242.08,242.84,241.75,36870600
Dec 5 2024,243.99,244.54,242.13,243.04,241.95,40033900
Dec 4 2024,242.87,244.11,241.25,243.01,241.92,44383900
Dec 3 2024,239.81,242.76,238.9,242.65,241.56,38861000
Dec 2 2024,237.27,240.79,237.16,239.59,238.51,48137100
Nov 29 2024,234.81,237.81,233.97,237.33,236.26,28481400
Nov 27 2024,234.47,235.69,233.81,234.93,233.87,33498400
Nov 26 2024,233.33,235.57,233.33,235.06,234,45986200
Nov 25 2024,231.46,233.25,229.74,232.87,231.82,90152800
Nov 22 2024,228.06,230.72,228.06,229.87,228.84,38168300
Nov 21 2024,228.88,230.16,225.71,228.52,227.49,42108300
Nov 20 2024,228.06,229.93,225.89,229,227.97,35169600
Nov 19 2024,226.98,230.16,226.66,228.28,227.25,36211800
Nov 18 2024,225.25,229.74,225.17,228.02,226.99,44633700
